date,CO_content,HCL_content,NOx_content,SO2_content,Primary_air_regulator,Primary_air_volume,Main_steam_flow_rate_setting,Secondary_air_regulator,Secondary_air_volume,Inducer_fan_speed,Pusher_start_stop,Pusher_manual_command,Pusher_automatic_throwback_signal,Pusher_automatic_command,Oxygen_setpoint,Ladle_water_level,Grate_start_stop,Grate_actual_operation_command,Grate_manual_command,Grate_automatic_throw-out_signal,Feedwater_flow
2021-12-22 23:30:00,2.5278,2.8333,111.4074,3.2569,65.53699999999999,72881.2344,60.0,49.4537,18553.9766,67.41199999999999,False,40.0,False,70.0,25.0,7.5292,False,50.0,50.0,False,68.6522
2021-12-22 23:30:01,2.5208,2.8194,111.4074,3.2778,65.5532,73729.4688,60.0,49.4375,18472.9531,67.4167,False,40.0,False,70.0,25.0,7.4884,False,50.0,50.0,False,68.6643
2021-12-22 23:30:02,2.5625,2.7593,111.463,3.3194,65.5463,74221.6875,60.0,49.4745,18553.9766,67.4468,False,40.0,False,70.0,25.0,7.4432,False,50.0,50.0,False,68.6404
2021-12-22 23:30:03,1.0347,2.5093,109.3333,2.8958,65.5231,73600.1953,60.0,49.5,18553.9766,67.4306,False,40.0,False,70.0,25.0,7.4716,False,50.0,50.0,False,68.622
2021-12-22 23:30:04,0.9722,2.5046,109.2593,2.8333,65.5463,73057.8047,60.0,49.4907,18614.5098,67.4468,False,40.0,False,70.0,25.0,7.56,False,50.0,50.0,False,68.6118
2021-12-22 23:30:05,0.9306,2.5324,109.3889,2.8333,65.544,73111.4609,60.0,49.463,18553.9766,67.4375,False,40.0,False,70.0,25.0,7.6635,False,50.0,50.0,False,68.6153
2021-12-22 23:30:06,1.0,2.4769,109.2778,2.7917,65.544,73241.5938,60.0,49.4838,18614.5098,67.4468,False,40.0,False,70.0,25.0,7.7891,False,50.0,50.0,False,68.6163
2021-12-22 23:30:07,0.9931,2.4907,109.2778,2.8333,65.5532,73310.4063,60.0,49.4722,18614.5098,67.4259,False,40.0,False,70.0,25.0,7.8243,False,50.0,50.0,False,68.6164
2021-12-22 23:30:08,0.9722,2.5046,109.0926,2.8958,65.53699999999999,74002.4844,60.0,49.4676,18614.5098,67.4167,False,40.0,False,70.0,25.0,7.8249,False,50.0,50.0,False,68.645
2021-12-22 23:30:09,2.4653,2.6898,107.8519,2.7083,65.53699999999999,74168.8359,60.0,49.4468,18553.9766,67.4398,False,40.0,False,70.0,25.0,7.8117,False,50.0,50.0,False,68.6845
2021-12-22 23:30:10,2.5,2.6759,107.9074,2.5764,65.5671,74297.125,60.0,49.456,18411.9512,67.4352,False,40.0,False,70.0,25.0,7.7945,False,50.0,50.0,False,68.7079
